family,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AWC,CEC,PH,TEB,toN,wind_flower,vapr,srad,srad_leaf
CC3,100.1340861,26.25771111,11.9685001373291,10.8990001678467,47.73563385009769,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844.0,141.0,13.0,62.9078063964844,389.0,57.0,389.0,62.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285716
CC30,109.9034597,30.61394028,11.7679166793823,7.610499858856199,26.31577587127685,778.7022705078125,26.0659999847412,-2.8339998722076403,28.899999618530252,20.19133377075195,1.8893333077430747,21.149666786193848,1.8893333077430747,1344.0,207.5,23.5,60.81216239929195,576.5,80.5,562.5,80.5,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.3579999605814597,1.1857999935746206,12913.208333333334,15835.07142857143
CC31,115.8611111,31.21722222,12.9973335266113,8.43000030517578,26.922584533691396,859.20849609375,28.0,-3.31200003623962,31.3120002746582,23.339334487915,2.10400009155273,23.339334487915,2.10400009155273,1460.0,230.0,30.0,56.6330337524414,642.0,129.0,642.0,129.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.98799999554952,1.3396666869521143,14430.75,17381.428571428572
CC32,103.5166667,31.46666667,7.89750003814697,10.5609998703003,36.3370475769043,654.218566894531,21.488000869751,-7.57600021362305,29.064001083374,15.6360006332397,-0.645333349704742,15.6360006332397,-0.645333349704742,776.0,128.0,6.0,76.6012954711914,363.0,25.0,363.0,25.0,165.0,15.0,8.0,39.0,1.01999998092651,2.2293333212534563,1.0121000011761982,11855.25,14243.285714285714
CC33,109.1353028,31.97349722,9.18833351135254,8.16399955749512,27.6558265686035,784.084533691406,23.5920009613037,-5.92799997329712,29.5200004577637,17.8753337860107,-0.790666699409485,18.6406669616699,-0.790666699409485,1144.0,191.0,15.0,65.2657241821289,503.0,54.0,486.0,54.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.6826666196187303,0.9882333477338148,12961.666666666666,15832.714285714286
CC34,108.8156972,32.00807778,8.74683380126953,8.09433364868164,27.6672592163086,775.714111328125,23.0319995880127,-6.22399997711182,29.2560005187988,17.3713340759277,-1.10533332824707,18.1233329772949,-1.10533332824707,1135.0,187.0,15.0,65.2021789550781,499.0,54.0,479.0,54.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.730666637420653,0.971233320732912,12867.75,15753.857142857141
CC35,103.94405771666668,32.019853133333335,8.79699993133545,9.68400001525879,33.5040130615234,692.1809692382809,22.5359992980957,-6.368000030517581,28.9039993286133,16.2066669464111,-0.225999996066093,16.9619998931885,-0.225999996066093,804.0,146.0,7.0,78.1967849731445,395.0,27.0,392.0,27.0,144.0,18.0,5.19999980926514,6.0,2.3199999332428,2.1640000343322736,1.0949999963243795,11697.083333333334,14224.142857142857
CC36,108.7289225,32.05269607,9.57533359527588,8.05799961090088,27.3672065734863,780.6410522460941,24.0879993438721,-5.355999946594241,29.4440002441406,18.2553329467773,-0.33666667342186,19.0340003967285,-0.33666667342186,1114.0,186.0,14.0,65.7987365722656,493.0,51.0,470.0,51.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.59599995613098,1.0128666758537297,12897.25,15789.857142857143
CC37,108.8,32.21666667,11.6576671600342,8.34200000762939,28.079978942871104,785.249877929688,26.3999996185303,-3.30800008773804,29.7080001831055,20.3526668548584,1.70266664028168,21.2233333587646,1.70266664028168,1062.0,181.0,13.0,66.5489120483398,478.0,47.0,449.0,47.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.2946666081746403,1.0950666740536694,13051.166666666666,15972.42857142857
CC38,109.0861,32.25493333,11.7749996185303,8.42399978637695,28.2154331207275,790.395080566406,26.503999710083,-3.35199999809265,29.8559989929199,20.5139999389648,1.76133346557617,21.3946666717529,1.76133346557617,1060.0,182.0,13.0,66.2580184936523,477.0,48.0,449.0,48.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.3586666584014897,1.1001000056664143,13126.083333333334,16032.57142857143
CC39,104.3469355,32.90229275,6.78900003433228,9.14799976348877,30.8054943084717,729.090515136719,20.8439998626709,-8.85200023651123,29.6959991455078,14.6700000762939,-2.73266673088074,15.4193334579468,-2.73266673088074,717.0,124.0,4.0,77.3586959838867,344.0,19.0,335.0,19.0,159.0,13.0,5.90000009536743,9.0,1.33000004291534,2.1719999313354497,0.8295666625102359,12517.0,15057.857142857143
CC4,100.1356361,26.25835278,11.9685001373291,10.8990001678467,47.73563385009769,452.8681640625,21.3999996185303,-1.432000041008,22.8319988250732,17.0553321838379,6.5493335723877,17.0553321838379,6.01933336257935,844.0,141.0,13.0,62.9078063964844,389.0,57.0,389.0,62.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.5026666323343902,1.026733341316381,14765.416666666666,15204.285714285716
CC40,107.9889981,32.99570594,12.7068328857422,8.38366603851318,28.3270263671875,790.8731079101559,27.375999450683604,-2.22000002861023,29.5959987640381,21.3780002593994,2.72333335876465,22.370666503906204,2.72333335876465,874.0,155.0,8.0,70.9310607910156,419.0,30.0,371.0,30.0,159.0,13.0,5.900000095367429,9.0,1.33000004291534,1.9186666409174602,1.1823000013828289,13421.5,16378.42857142857
CC41,104.1958879,33.00679162,6.413833300272624,9.63277784983317,31.874582290649432,725.1187337239586,20.689333597819033,-9.530666987101233,30.21999994913737,14.249999999999966,-3.0502223173777296,15.0048891703288,-3.0502223173777296,696.3333333333334,119.66666666666667,3.0,78.42689259847008,334.3333333333333,14.333333333333334,324.6666666666667,14.333333333333334,159.0,13.0,5.900000095367429,9.0,1.33000004291534,2.287555588616264,0.7778555634948936,12751.361111111111,15201.52380952381
CC42,105.8245759,33.23906403,10.7906665802002,7.63066673278809,27.0591011047363,752.496704101562,24.7840003967285,-3.4159998893737806,28.2000007629395,18.9653339385986,1.23466670513153,19.9273338317871,1.23466670513153,745.0,145.0,5.0,81.1302185058594,392.0,18.0,364.0,18.0,151.83333333333334,13.333333333333334,6.0833334128061916,11.0,1.3366667032241784,1.9226667086283336,1.065566668907801,12894.083333333334,15585.142857142857
