Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
CM29,111.2637333,37.20483333,6.24766635894775,12.239333152771,30.8918056488037,1006.33703613281,24.6439990997314,-14.9759998321533,39.6199989318848,16.6979999542236,-6.81266641616821,18.0960006713867,-6.81266641616821,506,121,2,100.36206817627,318,9,301,9
CM28,111.2637333,37.20483333,6.24766635894775,12.239333152771,30.8918056488037,1006.33703613281,24.6439990997314,-14.9759998321533,39.6199989318848,16.6979999542236,-6.81266641616821,18.0960006713867,-6.81266641616821,506,121,2,100.36206817627,318,9,301,9
CM27,111.2637333,37.20483333,6.24766635894775,12.239333152771,30.8918056488037,1006.33703613281,24.6439990997314,-14.9759998321533,39.6199989318848,16.6979999542236,-6.81266641616821,18.0960006713867,-6.81266641616821,506,121,2,100.36206817627,318,9,301,9
CM26,111.2637333,37.20483333,6.24766635894775,12.239333152771,30.8918056488037,1006.33703613281,24.6439990997314,-14.9759998321533,39.6199989318848,16.6979999542236,-6.81266641616821,18.0960006713867,-6.81266641616821,506,121,2,100.36206817627,318,9,301,9
CM25,111.2637333,37.20483333,6.24766635894775,12.239333152771,30.8918056488037,1006.33703613281,24.6439990997314,-14.9759998321533,39.6199989318848,16.6979999542236,-6.81266641616821,18.0960006713867,-6.81266641616821,506,121,2,100.36206817627,318,9,301,9
CM53,128.2,41.42,2.55233335494995,12.3666667938232,26.2450485229492,1282.90246582031,24.0200004577637,-23.1000003814697,47.120002746582,17.4566669464111,-14.3673334121704,17.4566669464111,-14.3673334121704,707,158,10,91.4596405029297,425,35,425,35
CM52,128.2,41.42,2.55233335494995,12.3666667938232,26.2450485229492,1282.90246582031,24.0200004577637,-23.1000003814697,47.120002746582,17.4566669464111,-14.3673334121704,17.4566669464111,-14.3673334121704,707,158,10,91.4596405029297,425,35,425,35
CM51,128.2,41.42,2.55233335494995,12.3666667938232,26.2450485229492,1282.90246582031,24.0200004577637,-23.1000003814697,47.120002746582,17.4566669464111,-14.3673334121704,17.4566669464111,-14.3673334121704,707,158,10,91.4596405029297,425,35,425,35
CM6,117.76,41.94,6.10949993133545,12.9963331222534,28.5207443237305,1232.95056152344,27.5240001678467,-18.0440006256104,45.568000793457,20.6026668548584,-9.78666687011719,20.6026668548584,-9.78666687011719,424,128,1,118.062187194824,299,6,299,6
CM5,117.76,41.94,6.10949993133545,12.9963331222534,28.5207443237305,1232.95056152344,27.5240001678467,-18.0440006256104,45.568000793457,20.6026668548584,-9.78666687011719,20.6026668548584,-9.78666687011719,424,128,1,118.062187194824,299,6,299,6
CM4,117.76,41.94,6.10949993133545,12.9963331222534,28.5207443237305,1232.95056152344,27.5240001678467,-18.0440006256104,45.568000793457,20.6026668548584,-9.78666687011719,20.6026668548584,-9.78666687011719,424,128,1,118.062187194824,299,6,299,6
CM34,117.76,41.94,6.10949993133545,12.9963331222534,28.5207443237305,1232.95056152344,27.5240001678467,-18.0440006256104,45.568000793457,20.6026668548584,-9.78666687011719,20.6026668548584,-9.78666687011719,424,128,1,118.062187194824,299,6,299,6
CM33,117.76,41.94,6.10949993133545,12.9963331222534,28.5207443237305,1232.95056152344,27.5240001678467,-18.0440006256104,45.568000793457,20.6026668548584,-9.78666687011719,20.6026668548584,-9.78666687011719,424,128,1,118.062187194824,299,6,299,6
CM50,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
