,CC1,CC10,CC11,CC12,CC121,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC2,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC3,CC30,CC31,CC32,CC33,CC34,CC35,CC36,CC37,CC38,CC39,CC4,CC40,CC41,CC42,CC43,CC44,CC45,CC46,CC47,CC48,CC49,CC5,CC50,CC51,CC6,CC66,CC7,CC8
CC27,488860.852481837,285837.381172006,348008.125765126,423194.813580335,151652.473745631,275538.922105756,299435.639812942,277093.091561472,244760.430753257,210922.594553235,689266.185050238,388930.352513207,488691.981360984,544227.975871758,118091.129489231,179357.082684876,147594.805949309,152090.177008272,402120.287930863,298300.278193445,0,43732.8314376667,136974.915121792,382210.497551038,93289.4853786789,210493.4984462,465165.834964176,372679.778066971,413332.276899095,409658.874400896,347418.673929134,268189.817571872,272140.54849751,648031.512509198,382140.7270239,367914.69952027,689454.652660424,394488.058220002,594176.977604633,594306.826966051,648830.498032921,748364.175861708,522131.753832672,629228.831712403,550857.843524371,220117.717587414,551421.105678284,551424.884635275,395836.833528702,300633.412565188,503342.510981061,446498.635436146
CC28,482316.006922957,304259.071100297,378598.458050916,459608.236651899,166516.840842284,306616.53692122,336195.067329648,245725.20591389,281503.837576542,246592.58734901,732545.474797483,431718.119953673,482144.181449148,501882.111374482,98639.5852762077,144704.312243626,113716.760786385,116743.866730161,358800.229825126,254733.062178582,43732.8314376667,0,179285.380614816,384166.988883314,99624.9296341917,182478.873916783,504444.844488149,405211.678402964,447650.613506492,443707.189665212,377119.601397055,270616.878278037,272416.42442263,683974.156961505,384097.211748659,355006.367372214,725794.346770626,405747.047970293,625139.143125596,625261.621202917,681103.63873667,783355.688945305,544998.076597771,659261.694729688,568359.297781058,188150.71662453,568901.698700833,568905.337835158,382052.055981091,257443.091123066,472502.428725389,479125.63050125
CC29,566128.688040885,307789.382469677,315402.332979033,355715.388638023,146866.663232208,249684.565881722,240212.353028239,405987.17550834,194134.302434183,174607.052123457,568472.132854827,277831.757864483,565972.440773623,681059.898890379,242099.860940621,313199.114771113,281561.332248458,286889.214728955,537729.158085982,433148.392723359,136974.915121792,179285.380614816,0,443101.698955901,148890.012563143,299874.064178724,331381.478816393,258733.717720239,292624.2576544,289838.305796433,244209.041553545,266918.604302587,276747.24741921,520425.842819698,443036.227422098,400619.626346602,560765.001661114,349987.142380639,479833.533926307,479982.113329324,530315.334331799,622453.084216704,433501.101146888,517006.15574166,478089.440597754,350785.801578761,478699.202018362,478703.292597659,492455.2648527,428580.168992081,628850.314524281,397078.219940494
CC3,132486.439492411,157363.69108466,266875.698364542,376384.582892867,531655.73925983,260024.202396076,326636.715387619,286531.372019771,314837.637618089,302305.633714209,740949.162371521,485787.841112314,132363.780481275,580654.427778237,294457.641644045,319298.591957376,323155.574185907,329048.238606356,513858.693277237,462437.073867417,382210.497551038,384166.988883314,443101.698955901,0,475147.384211014,550990.683797254,727252.338926085,696969.982003997,723508.082234928,721876.637381158,686806.108674834,650286.258010189,653758.052763855,927609.79219926,69.8876650170325,737372.111056404,962869.039327435,773007.919536281,911948.384530432,912113.422559573,956035.538847568,1030647.73670829,876575.672394656,950515.996046309,918186.660275718,294999.406055775,918783.870257256,918787.87662654,140321.687558659,516675.709655499,362855.781217124,336259.337387335
CC30,579107.349930928,376341.60244851,426209.488634793,488501.451888142,68257.4072295462,354269.25731266,366283.467626767,340473.125817496,313350.862227625,283339.861315229,716582.601554402,426263.243738523,578936.835649027,566395.828275519,198027.838726521,238132.865628867,209016.148841076,210458.994746881,416867.718710975,312158.158216195,93289.4853786789,99624.9296341917,148890.012563143,475147.384211014,0,151000.315542538,438191.473961744,321810.838097576,367402.184670362,362903.723848731,289125.892545825,175148.606591329,178859.087737954,605333.815106277,475077.549345681,279187.475305074,647929.41909889,306323.134689508,536856.661972355,536966.922375776,594719.491737971,701917.675219444,448214.494750261,569428.371054285,469112.628548264,283200.119865424,469649.751232203,469653.355120293,481273.166297974,293703.283620344,566148.774064281,519989.355373045
CC31,631786.16006731,486103.73379103,558355.429136783,631463.903268455,179929.660471625,485927.642511735,507883.719369823,337104.788818271,453562.384409537,420679.702782326,866800.285570711,577162.655014298,631612.611232751,472729.404779601,257012.190178456,247878.87438718,232699.020290328,228678.615901587,322142.764199834,229367.150522501,210493.4984462,182478.873916783,299874.064178724,550990.683797254,151000.315542538,0,564760.390493973,429357.371928568,478046.904420989,472826.925915351,389363.858828603,183794.491197623,176120.540867091,711100.653676954,550922.439693872,195708.138806438,754166.704409368,328784.066295354,623918.097378064,623992.377989003,684966.965673124,800660.87019745,506496.678234953,651161.512688337,503692.150723938,289366.870736528,504109.087012428,504111.885363723,518453.628069146,183559.636667925,541389.171083656,656918.01208499
CC32,858787.797158318,571709.362122939,505494.065013022,461810.56656019,386787.65263553,475524.21476712,419735.219861789,737307.449189316,414701.410541336,425036.443721825,413277.033717854,299386.848224301,858652.297031363,1002571.40089753,573370.834111846,643846.280883541,612092.295549727,617022.413655025,854419.148259925,749323.707335545,465165.834964176,504444.844488149,331381.478816393,727252.338926085,438191.473961744,564760.390493973,0,153280.96815633,111267.245335725,116659.611837399,196452.419997321,423958.3022286,437505.146647826,200383.774145708,727197.098000844,557689.210051323,236350.365968237,374562.21273644,217203.127211057,217395.276837909,241828.403235646,303414.770702552,287472.659452492,255001.152853823,366305.123409229,682141.029636516,366840.532521401,366844.125173438,805827.816138603,730843.253197926,958932.688725121,528184.771389874
CC33,822972.862348593,551565.244241388,519727.990093806,509497.85199978,260257.954340001,470910.089880275,431728.925335064,649523.461694901,407391.433639352,404462.713808508,549497.69483883,361861.591438336,822820.254280349,886223.910599233,489545.89302426,549791.725550084,518454.222617293,521891.269164364,735426.128347908,631926.633822314,372679.778066971,405211.678402964,258733.717720239,696969.982003997,321810.838097576,429357.371928568,153280.96815633,0,48978.2740982461,43581.1657660597,43678.7232986523,274429.418063132,287768.047987101,284424.687395388,696906.973034617,404913.564372901,327323.057926278,225085.985162017,222272.080757509,222411.054619666,276173.094946943,380114.595333826,195111.117304553,258673.359110781,261109.822953313,592240.316996961,261724.796501734,261728.922087633,751064.804796388,604689.26737084,876002.959797657,569886.16532038
CC34,851491.436928331,574400.429223609,532091.344718696,511252.639259943,307402.732182713,488459.548465974,443766.29252152,690409.879601053,424933.116884611,425902.545420192,518825.201185216,356720.531169814,851342.960048097,932956.052794285,528891.69374841,591743.651219952,560195.69182285,563975.620922086,782431.752520733,678567.115565087,413332.276899095,447650.613506492,292624.2576544,723508.082234928,367402.184670362,478046.904420989,111267.245335725,48978.2740982461,0,5697.6378753763,91765.2280365852,322775.367879212,336034.368015694,237931.899691338,723446.935270939,451148.192228257,280564.816072109,263329.29749437,188731.463320693,188891.428604424,237706.739181861,335771.032116969,196808.606252036,227046.274826411,270843.732084093,633421.089470013,271428.624216294,271432.548456501,784328.939074984,652559.831369524,916315.336451674,574102.07625689
CC35,849619.491324298,573206.35124808,532162.577152103,512544.946115674,302587.621055264,487886.357377518,443830.958646321,686751.187759586,424325.210776067,424816.517671039,523462.289254128,358683.264642885,849470.445252482,928269.408294189,525445.479484317,587903.420185324,556384.72082608,560110.19022682,777681.407364691,673892.134619026,409658.874400896,443707.189665212,289838.305796433,721876.637381158,362903.723848731,472826.925915351,116659.611837399,43581.1657660597,5697.6378753763,0,86161.3599796105,317150.724949597,330401.107126759,242465.284468259,721815.235969072,445450.895525691,285174.308745327,257904.456423696,190794.636066583,190951.547112121,240660.849105791,339862.623929321,194311.960214137,228876.752156472,267683.98579955,629709.303753231,268272.666542253,268276.616148151,781802.671186145,647599.035264553,912765.745785378,575140.396294222
CC36,810309.243518606,545955.090531049,524514.364989759,523669.104553436,224917.696191359,471173.785675867,437577.253279215,622656.625851841,408303.037543533,401524.7040161,586504.152718899,382914.791959022,810152.578277876,850281.965997479,465316.503239662,521750.859428997,490822.653586396,493760.808876219,699100.946000645,596384.226650248,347418.673929134,377119.601397055,244209.041553545,686806.108674834,289125.892545825,389363.858828603,196452.419997321,43678.7232986523,91765.2280365852,86161.3599796105,0,231028.987347174,244314.409194991,322064.532236777,686741.359704899,361381.868733994,365123.816025745,187001.722298632,248240.46391459,248358.040700863,305594.538765617,414771.13031096,191835.000812614,282175.360304868,247941.124382773,565134.47910921,248566.093232629,248570.285704438,733322.671289325,566734.852804113,849457.877113953,581589.2137965
CC37,752850.525673845,546008.233228759,578938.745752658,621798.483266316,126122.643639888,509783.298227509,506987.211743033,493072.15030572,459139.324220463,435100.9082649,781583.959105272,523233.039953715,752678.993535545,656252.267135156,368609.395990138,393095.265170934,368348.903154092,367590.768349892,505910.717873816,411829.267444211,268189.817571872,270616.878278037,266918.604302587,650286.258010189,175148.606591329,183794.491197623,423958.3022286,274429.418063132,322775.367879212,317150.724949597,231028.987347174,0,13633.2509001707,543733.262491172,650216.432563272,143729.956513832,586445.771950077,147183.962520783,447016.645465504,447073.847338863,508697.868540309,627468.054608017,323102.997383178,471811.96009071,321504.995973675,438481.522305787,321949.343833904,321952.326646861,651320.416410182,367049.273746001,710961.841255674,663886.619493076
CC38,754701.028668084,552023.346656745,587504.783397595,632082.351721268,133856.382184391,517934.855762546,516522.349362803,490822.303803696,468138.788596542,443481.361490215,794807.642017771,535268.008125047,754529.031877627,647819.866961866,369836.366386365,391568.419673035,367551.218905062,366493.154442827,497862.033428826,404999.687778175,272140.54849751,272416.42442263,276747.24741921,653758.052763855,178859.087737954,176120.540867091,437505.146647826,287768.047987101,336034.368015694,330401.107126759,244314.409194991,13633.2509001707,0,556035.449957388,653688.181921552,130852.314226746,598688.073491678,152972.960033917,458210.413036174,458264.444210374,519949.615341711,639096.867011718,332166.068886565,482467.835913894,327821.289323376,436787.601702409,328248.97070137,328251.841820327,651884.953505725,358746.842768495,707236.52744192,673403.379277624
CC39,1059051.6399908,772066.924516528,702165.062446773,648311.734414167,544679.071394325,675301.693220724,617883.428281836,924349.977431219,614910.921370674,625352.35500558,505127.220922072,485993.871999997,1058915.34911753,1170603.41747843,761324.019981281,827231.090238315,795528.413193348,799668.78915557,1019850.28302057,916262.202268358,648031.512509198,683974.156961505,520425.842819698,927609.79219926,605333.815106277,711100.653676954,200383.774145708,284424.687395388,237931.899691338,242465.284468259,322064.532236777,543733.262491172,556035.449957388,0,927554.38167952,654634.170783369,43068.6175163339,444134.42354101,126340.450893423,126430.044940982,89346.6297267146,103327.549239046,278428.672290668,137258.847996918,349340.706568057,867895.248687379,349619.890958552,349621.766856104,1003874.13147301,888636.559608249,1148905.42390841,715626.985773402
CC4,132535.661555273,157314.717703401,266846.395896161,376362.020948138,531586.314446809,259978.777269563,326594.22447014,286480.240249975,314786.518040743,302249.605957828,740925.862403552,485747.68161314,132412.956454234,580621.410722287,294388.862383976,319235.006274524,323089.44902834,328982.514156597,513811.468065947,462381.019681278,382140.7270239,384097.211748659,443036.227422098,69.8876650170325,475077.549345681,550922.439693872,727197.098000844,696906.973034617,723446.935270939,721815.235969072,686741.359704899,650216.432563272,653688.181921552,927554.38167952,0,737302.75523229,962814.766522085,772938.892655206,911887.680322235,912052.714582989,955976.513011226,1030592.66591427,876510.011959555,950455.020477327,918119.366738271,294939.963933673,918716.572919043,918720.579262855,140311.778607625,516616.397292982,362845.662113329,336247.083062698
CC40,825030.802061019,653744.641450903,703447.996758982,756029.6722969,253887.19044484,632155.433989039,637546.076177298,532351.033111128,586943.017291884,559474.770686424,925010.097864502,665206.090763986,824857.093985584,620832.169909541,443650.407352733,443168.548987684,426200.05945506,422807.541967053,479881.30095208,405390.413913126,367914.69952027,355006.367372214,400619.626346602,737372.111056404,279187.475305074,195708.138806438,557689.210051323,404913.564372901,451148.192228257,445450.895525691,361381.868733994,143729.956513832,130852.314226746,654634.170783369,737302.75523229,0,696044.365021517,213620.344182692,544788.084309415,544804.941614153,606037.08608309,728137.567513904,400758.449642631,562491.130465829,370556.452788935,485058.503141635,370797.971910098,370799.595080283,713397.808992505,345083.67918329,729862.29333944,793759.391644891
